id,highlight,beneficiarystate,schemeshorttitle,level,schemefor,nodalministryname,schemecategory,schemename,schemeclosedate,priority,slug,briefdescription,tags,upload_date
fqHCF5gBXu-iUKXqB3fn,{},['Haryana'],PMMSYMCIBHR,State,Individual,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship']",Pradhan Mantri Matsya Sampada Yojana: Motor Cycle with Ice Box - Haryana,,0.0,mcwibs,"The scheme aims to strengthen fish transportation infrastructure and ensure the freshness and quality of fish during transit. Under this scheme, financial assistance is provided to fishers for purchasing motorcycles equipped with ice boxes, ensuring efficient and hygienic fish transport.","['Subsidy', 'Fishermen', 'Motorcycle', 'Fish', 'Ice Box', 'Fisheries']",2025-11-26T22:18:29.576638
gcbCF5gB0AGc0F0iADac,{},['Haryana'],PMMSYMFFMPC8TDS,State,Individual,,"['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana: Medium Fish Feed Mill of Production Capacity of 8 Ton/Day,,0.0,mffmpc8tds,"The scheme aims to promote fish feed self-sufficiency and affordability among fish farmers. Under this scheme, financial assistance is provided for setting up medium-sized fish feed mills with a production capacity of 8 tons per day, benefiting entrepreneurs and fish farmers.","['Subsidy', 'Fish Farmer', 'Entrepreneurs', 'Fish Production', 'Fish', 'Fish Feed', 'Mill']",2025-11-26T22:18:29.576638
gRfCF5gB5uF80_MGBZKB,{},['Haryana'],PMMSYMFFMPC2TD,State,Individual,,"['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana: Mini Fish Feed Mills of Production Capacity of 2 Ton /Day,,0.0,mffmpc2td,"Under this scheme, financial assistance, in form of subsidy, is provided to individuals for setting up mini feed mills, ensuring the local availability of quality fish feed at affordable prices for fishers and fish farmers.","['Fish', 'Fish Farmer', 'Fish Production', 'Entrepreneur', 'Mini Fish Feed Mill']",2025-11-26T22:18:29.576638
y6G0F5gBXu-iUKXqEXRb,{},['All'],PMFBY,Central,Individual,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']",Pradhan Mantri Fasal Bima Yojna (PMFBY),,0.0,pmfby,Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,"['Crop', 'Farmer', 'Insurance', 'Agriculture', 'Premium']",2025-11-26T22:18:29.576638
98a0F5gB0AGc0F0iFTNh,{},['All'],PMMSY,Central,Infra,"Ministry of Fisheries,Animal Husbandry and Dairying","['Agriculture,Rural & Environment']",Pradhan Mantri Matsya Sampada Yojana,,0.0,pmmsy,"Introduced by the Department of Fisheries, Pradhan Mantri Matsya Sampada Yojana (PMMSY) is a scheme to bring about ecologically healthy, economically viable, and socially inclusive development of the fisheries sector of India.","['Fisheries', 'Agriculture', 'Farming']",2025-11-26T22:18:29.576638
1xe1F5gB5uF80_MGnY8M,{},['All'],NFSMCSS,Central,Individual,Ministry Of Agriculture and Farmers Welfare,"['Agriculture,Rural & Environment']",National Food Security Mission NFSM,,1.0,nfsmcss,"National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission.","['Demonstration', 'Seed Distribution', 'Seed Hub', 'Seed Production', 'Pulses', 'Rice', 'Wheat', 'Nutri Cereals', 'Millets']",2025-11-26T22:18:29.576638
fhe5F5gB5uF80_MGSZBc,{},['Meghalaya'],SAMS,State,Individual,,"['Agriculture,Rural & Environment']",Supply of Agriculture Machineries Scheme,,1.0,sams,"The objective of the scheme is to distribute and sale of agricultural machinery such as Power Tillers, etc. to farmers at subsidized rates.","['Farmer', 'Agriculture Machineries', 'Subsidy']",2025-11-26T22:18:29.576638
0aG5F5gBXu-iUKXqVHXa,{},['Meghalaya'],OMS,State,Individual,,"['Agriculture,Rural & Environment']",Organic Manure Scheme,,1.0,oms,The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.,"['Organic Manure', 'Farmer', 'Agriculture', 'Training']",2025-11-26T22:18:29.576638
ohe5F5gB5uF80_MGXZDL,{},['Meghalaya'],ARSLS,State,Individual,,"['Agriculture,Rural & Environment']",Agriculture Research Stations and Laboratories Scheme,,1.0,arsls,The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.,"['Agriculture', 'Research Station', 'Laboratory', 'Farmer', 'Bio Pesticide', 'Bio Agent']",2025-11-26T22:18:29.576638
vaG5F5gBXu-iUKXqSnVK,{},['Meghalaya'],PHMS,State,Individual,,"['Agriculture,Rural & Environment']",Post Harvest Marketing Scheme,,1.0,phms,"The “Post Harvest Marketing Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya for the creation of post harvest marketing infrastructure. ","['Post Harvest', 'Marketing', 'Infrastructure', 'Farmer', 'SHG Farmers', 'Co-Operative Societies', 'FIG', 'FPO', 'Horticulture']",2025-11-26T22:18:29.576638
7cbXF5gB0AGc0F0iNzbP,{},['Rajasthan'],ABN,State,Individual,,"['Agriculture,Rural & Environment']",Anti Bird Net,,1.0,abn,"Under the Anti Bird Net Birds will never leave your garden if they are used to pecking on certain trees and plants, but if you install anti-bird nets at the appropriate places, you can prevent them from coming again to peck your plants.","['Farmer', 'Anti Bird Net', 'Farming', 'Agriculture']",2025-11-26T22:18:29.576638
AqHXF5gBXu-iUKXqx3hN,{},['Rajasthan'],WIT,State,Individual,,"['Agriculture,Rural & Environment']",Walk In Tunnel,,1.0,wit,"Under the Walk-In Tunnel, the Rajasthan government provides the benefit of a subsidy to the farmers with affordable and efficient structures that offer protection from adverse weather conditions, pests, and diseases.","['Walk In Tunnel', 'Crops', 'Agriculture']",2025-11-26T22:18:29.576638
EsbXF5gB0AGc0F0i5jfT,{},['Meghalaya'],MARVS,State,Individual,,"['Agriculture,Rural & Environment']",Meghalaya Agriculture Response Vehicle Scheme,,1.0,marvs,"The scheme “Meghalaya Agriculture Response Vehicle Scheme” was launched by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to provide Small Commercial Vehicles and pickups at each CD Block across Meghalaya with 50% financial aid from the Government of Meghalaya.","['Agriculture', 'Response Vehicle', 'Farmer', 'Financial Aid', 'Farmers Associations', 'Entrepreneur']",2025-11-26T22:18:29.576638
C6ExGJgBXu-iUKXq7Xme,{},['Rajasthan'],KY,State,Individual,,"['Agriculture,Rural & Environment']",Krishi Yantra,,1.0,ky,"In the Krishi Yantra scheme, the farmer purchases farming-related equipment from an authorized dealer, then the state government gives a subsidy to the farmers.","['Farming', 'Farmer', 'Equipment', 'Development']",2025-11-26T22:18:29.576638
5aG5F5gBXu-iUKXqw3UP,{},['Gujarat'],APDCCSIFDS(GC),State,Individual,,"['Agriculture,Rural & Environment']",Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category),,1.0,apdccsifdsgc,"The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.","['Chaff Cutter', 'Animal Husbandry', 'Dairy Farmer', 'Financial Assistance']",2025-11-26T22:18:29.576638
-ca5F5gB0AGc0F0iwTQ_,{},['Gujarat'],CSSSSCSP(SCC),State,Individual,,"['Agriculture,Rural & Environment']",Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category) ,,1.0,csssscspscc,"The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals.","['Cattle Shed', 'Subsidy', 'Scheduled Caste', 'Animal Husbandry', 'Farmer', 'Financial Assistance']",2025-11-26T22:18:29.576638
fqHmF5gBXu-iUKXq3njF,{},['Odisha'],BEDS,State,Individual,,"['Agriculture,Rural & Environment']",Buffalo Entrepreneurship Development Scheme,,1.0,beds,"The ""Buffalo Entrepreneurship Development Scheme"" aims to enhance livestock productivity, especially among marginalized farmers in Odisha. This scheme seeks to address protein deficiency, boost nutritional status, & promote livelihood through dairy farming. ","['Farmers', 'Milk Production', 'Subsidy', 'Opportunity']",2025-11-26T22:18:29.576638
K8bZF5gB0AGc0F0i0TfE,{},['Haryana'],AAPD,State,Individual,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship']",Agricultural Activities for Persons with Disabilities,,1.0,aapd,"This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc.","['Agricultural Activities', 'PwD', 'Loan', 'Disabled Person']",2025-11-26T22:18:29.576638
GcbZF5gB0AGc0F0iUDcR,{},['Bihar'],NTKJKY,State,Individual,,"['Agriculture,Rural & Environment']",Niji Talabon Ka Jirnoddhar Ki Yojana,,1.0,ntkjky,"The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds.","['Fish Farmer', 'Productivity', 'Pond']",2025-11-26T22:18:29.576638
eqG9F5gBXu-iUKXqYnZk,{},['Tamil Nadu'],DOCSOS,State,Individual,,"['Agriculture,Rural & Environment']",Distribution of Certified Seeds-Oil Seeds,,1.0,docsos,"The ""Distribution of Certified Seeds-Oil Seeds"" scheme offers subsidies to farmers for purchasing certified oil seeds, helping them improve their crop yield and quality.

","['Agriculture', 'Farmer', 'Seed Distribution', 'Oil Seeds', 'Subsidy']",2025-11-26T22:18:29.576638
-sa-F5gB0AGc0F0iaTUQ,{},['Tamil Nadu'],ASPIE,State,Individual,,"['Skills & Employment', 'Agriculture,Rural & Environment']",Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,,1.0,aspie,"This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations.","['Tribal Welfare', 'Afforestation', 'Incentives', 'Employment']",2025-11-26T22:18:29.576638
0xe-F5gB5uF80_MGZZFD,{},['Tamil Nadu'],AHTN,State,Individual,,"['Agriculture,Rural & Environment']",Animal Husbandry,,1.0,ahtn,"This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.
","['Tribal Welfare', 'Animal Husbandry', 'Animals Health Cover', 'Artificial Insemination', 'Distribution Of Sheep Units']",2025-11-26T22:18:29.576638
o8a9F5gB0AGc0F0iYzWT,{},['Tamil Nadu'],POCS,State,Individual,,"['Agriculture,Rural & Environment']",Production Of Certified Seeds,,1.0,pocs,"The ""Production of Certified Seeds"" scheme, offers a subsidy to farmers for producing certified seeds of Pulses.
","['Agriculture', 'Farmer', 'Certified Seeds', 'Production Of Seeds']",2025-11-26T22:18:29.576638
h6G9F5gBXu-iUKXqZnZz,{},['Tamil Nadu'],OBDOPMTIG,State,Individual,,"['Agriculture,Rural & Environment']",Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,,1.0,obdopmtig,"The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.
","['Agriculture', 'Farmer', 'Block Demonstration', 'Polythene Mulch Technology', 'Groundnut']",2025-11-26T22:18:29.576638
lKG9F5gBXu-iUKXqbHaM,{},['Tamil Nadu'],DOR,State,Individual,,"['Agriculture,Rural & Environment']",Distribution of Rhizobium,,1.0,dor,"The “Distribution of Rhizobium” scheme offers a subsidy on the cost of Rhizobium, to farmers raising seed farms with Pulses crops in Tamil Nadu.

","['Agriculture', 'Farmer', 'Rhizobium', 'Subsidy']",2025-11-26T22:18:29.576638
OqHbF5gBXu-iUKXq3Xh-,{},['Madhya Pradesh'],TWS,State,Individual,,"['Agriculture,Rural & Environment']",Tap Water Scheme (Nal Jal Yojana),,1.0,tws,"""Tap Water Scheme"" (नल जल योजना) by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide clean water in Gram Panchayat areas in an accessible manner. The application has to be made to the concerned Gram Panchayat.","['Water', 'Agriculture', 'Panchayat', 'Development', 'Rural']",2025-11-26T22:18:29.576638
9hc7GJgB5uF80_MGJJNZ,{},['Bihar'],MVYB,State,Individual,,"['Agriculture,Rural & Environment']",Makhana Vikas Yojana,,1.0,mvyb,The scheme aims to boost Makhana cultivation by providing training to farmers and financial support for traditional equipment.,"['Agriculture', 'Subsidy', 'Seed Supply', 'Financial Assistance', 'Makhana Development']",2025-11-26T22:18:29.576638
HsY7GJgB0AGc0F0iJTiQ,{},['Bihar'],MBYDFVY,State,Individual,,"['Agriculture,Rural & Environment']",Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,,1.0,mbydfvy,"The scheme aims to expand dragon fruit cultivation in 21 districts of the state, providing financial assistance to ryot farmers for establishing and maintaining dragon fruit plantations.
","['Agriculture', 'Subsidy', 'Plant Supply', 'Financial Assistance', 'Dragon Fruit Development']",2025-11-26T22:18:29.576638
osbpF5gB0AGc0F0iZTeo,{},['Jharkhand'],V-VHCS,State,Individual,,"['Housing & Shelter', 'Agriculture,Rural & Environment']",Ved-Vyas Housing Construction Scheme,,1.0,v-vhcs,"The ""Ved Vyas Housing Construction Scheme"" provides financial assistance to active and traditional fish farmers in Simdega district for building houses. The scheme prioritizes individuals particularly those living in kutcha or thatched houses. ","['Housing', 'Fish Farmer', 'Disabled', 'BPL']",2025-11-26T22:18:29.576638
cBfpF5gB5uF80_MGY5NQ,{},['Tamil Nadu'],PCARDSIA,State,Individual,,"['Agriculture,Rural & Environment', 'Banking,Financial Services and Insurance']",Primary Cooperative Agriculture and Rural Development Bank: For Sericulture In Irrigated Area,,1.0,pcardsia,"The scheme provides loans to farmers for sericulture activities in irrigated areas, with a loan amount ranging from ₹49,000/- to ₹79,000/- per acre, and interest rates from 11% to 12.75%.","['Sericulture', 'Loan', 'Farmer', 'Agriculture And Rural Development Bank', 'Irrigated Area']",2025-11-26T22:18:29.576638
mhe9F5gB5uF80_MG35Ef,{},['Madhya Pradesh'],GTIAR,State,Individual,,"['Agriculture,Rural & Environment', 'Skills & Employment']",Gausevak Training (Initial and Refresher),,1.0,gtiar,"The scheme ""Gausevak Training (Initial and Refresher)"" aims to empower educated unemployed rural youth with self-employment opportunities and the skills to provide primary veterinary services in remote rural areas. A 100% stipend of ₹6,000 for initial training and ₹500 for refresher training.","['Educated', 'Unemployed', 'Youth', 'Training']",2025-11-26T22:18:29.576638
P6E9GJgBXu-iUKXqB3lt,{},['Gujarat'],ICS,State,Individual,,"['Agriculture,Rural & Environment']",Intensive Castration Scheme,,1.0,ics,"The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas.

","['Animal Husbandry', 'Cow', 'Low Genetic Animal']",2025-11-26T22:18:29.576638
RaE9GJgBXu-iUKXqCHkv,{},['Gujarat'],EOTMAF,State,Individual,,"['Agriculture,Rural & Environment']",Establishment of 1 to 20 Milch Animal Farm,,1.0,eotmaf,"The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business.","['Animal Husbandry', 'Rural Employment', 'Animal Farm']",2025-11-26T22:18:29.576638
Hxc9GJgB5uF80_MGCJRL,{},['Gujarat'],KPYG,State,Individual,,"['Agriculture,Rural & Environment']",Kisan Parivahan Yojana,,1.0,kpyg,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing medium-sized goods vehicles to facilitate the transportation of agricultural produce.","['Agriculture', 'Farmer', 'Heavy Farm Equipment', 'Goods Vehicles']",2025-11-26T22:18:29.576638
WqE9GJgBXu-iUKXqEHkF,{},['Gujarat'],ACFPAGC,State,Individual,,"['Agriculture,Rural & Environment']",Assistance of Concentrate Feed for Pregnant Animals (General Category),,1.0,acfpagc,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by General Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.

","['Animal Husbandry', 'Pregnant Cattle', 'Milk Production']",2025-11-26T22:18:29.576638
p6HqF5gBXu-iUKXq-3hy,{},['Goa'],SPEBJ,State,Individual,,"['Transport & Infrastructure', 'Agriculture,Rural & Environment']",Subsidy to Purchase E-Bike for Journalists,,1.0,spebj,"The scheme aims to provide financial assistance to journalists in Goa for purchasing e-bikes at a subsidised rate. The benefits include making it more convenient for journalists to gather and disseminate news, with the intended beneficiaries being eligible Goa-based journalists.","['Subsidy', 'Transport', 'Journalist', 'Environment', 'Pollution', 'Road']",2025-11-26T22:18:29.576638
CRc9GJgB5uF80_MGBJSg,{},['Gujarat'],DVRSF,State,Individual,,"['Agriculture,Rural & Environment']",Diesel VAT Relief Scheme for Fishermen,,1.0,dvrsf,"The ""Diesel VAT Relief Scheme for Fishermen"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance by subsidizing the VAT levied on high-speed diesel used in fishing boats. ","['Agriculture', 'Fishing Activities', 'Fishermen']",2025-11-26T22:18:29.576638
Chc9GJgB5uF80_MGBJTK,{},['Haryana'],BVBY,State,Individual,,"['Agriculture,Rural & Environment']",Bhavantar Bharpai Yojana,,1.0,bvby,"The scheme is implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.","['Horticulture', 'Farmer', 'Agriculture', 'Vegetable Grower', 'Fruits', 'Vegetables', 'Incentive']",2025-11-26T22:18:29.576638
Cxc9GJgB5uF80_MGBJTh,{},['Gujarat'],SPFASAE,State,Individual,,"['Agriculture,Rural & Environment']",Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,,1.0,spfasae,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.","['Agriculture', 'Farmer', 'Sanedo Equipment']",2025-11-26T22:18:29.576638
Ehc9GJgB5uF80_MGBZTu,{},['Gujarat'],SAPSF,State,Individual,,"['Agriculture,Rural & Environment']",Scheme for Assistance on Purchase of Smartphone by the Farmers,,1.0,sapsf,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance.","['Agriculture', 'Farmer', 'Smartphone']",2025-11-26T22:18:29.576638
VsY9GJgB0AGc0F0iFDjG,{},['Gujarat'],ACFAPSC,State,Individual,,"['Agriculture,Rural & Environment']",Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),,1.0,acfapsc,"The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Caste Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.

","['Animal Husbandry', 'Cattle Development', 'Milk Production', 'Concentrate Feeds']",2025-11-26T22:18:29.576638
BKG_F5gBXu-iUKXq7nfS,{},['Gujarat'],SPLFOM,State,Individual,,"['Agriculture,Rural & Environment']",Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,,1.0,splfom,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.

","['Agriculture', 'Organic Farming', 'Liquid Manure', 'Soil Health']",2025-11-26T22:18:29.576638
jsbCF5gB0AGc0F0iCTY0,{},['Haryana'],LFVCS,State,Individual,,"['Agriculture,Rural & Environment']",PMMSY: Live Fish Vending Centres Scheme - Haryana,,1.0,lfvcs,The scheme aims to support fishers by providing financial assistance for live fish vending centers. A subsidy per unit is provided under PMMSY.,"['Financial Assistance', 'Fish Farmer', 'Transportation', 'Subsidy', 'Marketing']",2025-11-26T22:18:29.576638
ksbCF5gB0AGc0F0iCTZo,{},['Haryana'],FFPPC,State,Individual,,"['Agriculture,Rural & Environment', 'Business & Entrepreneurship', 'Social welfare & Empowerment']",PMMSY: Fish Feed Plants of Production Capacity of at least 100 Ton/Day - Haryana,,1.0,sffppc,"This scheme provides capital subsidy for setting up fish feed plants with a minimum production capacity of 100 tons per day, under the Pradhan Mantri Matsya Sampada Yojana (PMMSY) to general , schedule caste and women beneficiaries .","['Fish', 'Affordable Feed', 'Capital Subsidy', 'FFPO']",2025-11-26T22:18:29.576638
Osa_F5gB0AGc0F0i9Db2,{},['Gujarat'],MMAMS,State,Individual,,"['Agriculture,Rural & Environment']",Mukhya Mantri Agricultural Mechanization Scheme,,1.0,mmams,"The ""Mukhya Mantri Agricultural Mechanization Scheme"" launched by the Agriculture, Farmers Welfare and Cooperation Department, offers financial assistance ranging from ₹1,200/- to ₹11,00,000/- to farmers in Gujarat for purchasing agricultural machinery and farm equipment.

","['Agriculture', 'Machine', 'Subsidy']",2025-11-26T22:18:29.576638
CKG_F5gBXu-iUKXq73dW,{},['Gujarat'],CWSDI,State,Individual,,"['Agriculture,Rural & Environment']",Construction of Water Storage Tanks for Drip Irrigation,,1.0,cwsdi,"The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category.","['Agriculture', 'Drip Irrigation', 'Farmer', 'Water Tank']",2025-11-26T22:18:29.576638
